customer_id,customer_name,city,status
c099,Customer_099,Bengaluru,inactive
c054,Customer_054,Bengaluru,active
c087,Customer_087,Poona,inactive
c095,Customer_095,Pune,active
c118,Customer_118,Hyderabad,active
c086,Customer_086,Chennai,active
c038,Customer_038,Bangalore,active
c079,Customer_079,Trivandrm,active
c015,Customer_015,Trivandrum,inactive
c124,Customer_124,Chennai,active
c145,Customer_145,Kochi,active
c051,Customer_051,Trivandrum,active
c090,Customer_090,Kochi,active
c113,Customer_113,Kochi,active
c117,Customer_117,Hyderabad,active
c112,Customer_112,Coimbatore,active
c066,Customer_066,Mumbai,active
c128,Customer_128,Trivandrum,inactive
c039,Customer_039,Kochi,active
c146,Customer_146,Coimbatore,inactive
c133,Customer_133,Trivandrum,active
c083,Customer_083,Kochi,active
c029,Customer_029,Kochi,active
c033,Customer_033,Kochi,active
c024,Customer_024,Pune,active
c032,Customer_032,Mumbai,inactive
c105,Customer_105,Bengaluru,active
c043,Customer_043,Chennai,inactive
c078,Customer_078,Trivandrum,inactive
c019,Customer_019,Trivandrum,active
c031,Customer_031,Trivandrum,active
c064,Customer_064,Coimbatore,active
c055,Customer_055,Coimbatore,inactive
c069,Customer_069,Poona,active
c045,Customer_045,Coimbatore,inactive
c010,Customer_010,Pune,active
c102,Customer_102,Bengaluru,active
c142,Customer_142,Chennai,active
c135,Customer_135,Coimbatore,active
c101,Customer_101,Pune,active
c122,Customer_122,Pune,active
c094,Customer_094,Chennai,active
c060,Customer_060,Bengaluru,active
c109,Customer_109,Hyderabad,active
c134,Customer_134,Pune,inactive
c036,Customer_036,Hyderabad,active
c023,Customer_023,Coimbatore,active
c076,Customer_076,Pune,active
c126,Customer_126,Bengaluru,active
c034,Customer_034,Hyderabad,active
c119,Customer_119,Coimbatore,inactive
c148,Customer_148,Coimbatore,active
c056,Customer_056,Kochi,inactive
c097,Customer_097,Bengaluru,active
c072,Customer_072,Bengaluru,inactive
c037,Customer_037,Trivandrum,active
c115,Customer_115,Pune,active
c005,Customer_005,Bengaluru,active
c016,Customer_016,Coimbatore,active
c084,Customer_084,Trivandrum,active
c089,Customer_089,Kochi,active
c021,Customer_021,Bengaluru,active
c007,Customer_007,Kochi,active
c080,Customer_080,Chennai,inactive
c068,Customer_068,Kochi,active
c136,Customer_136,Chennai,active
c013,Customer_013,Pune,active
c017,Customer_017,Pune,active
c042,Customer_042,Trivandrum,active
c050,Customer_050,Kochi,inactive
c149,Customer_149,Bengaluru,active
c081,Customer_081,Bengaluru,active
c125,Customer_125,Pune,active
c096,Customer_096,Kochi,active
c123,Customer_123,Bengaluru,active
c052,Customer_052,Mumbai,active
c108,Customer_108,Pune,active
c130,Customer_130,Cmbt,active
c027,Customer_027,Coimbatore,inactive
c026,Customer_026,Hyderabad,active
c138,Customer_138,Hyderabad,active
c093,Customer_093,Chennai,active
c088,Customer_088,Mumbai,inactive
c053,Customer_053,Mumbai,active
c009,Customer_009,Pune,active
c111,Customer_111,Coimbatore,active
c062,Customer_062,Trivandrum,active
c044,Customer_044,Chennai,inactive
c077,Customer_077,Hyderabad,inactive
c047,Customer_047,Pune,active
c127,Customer_127,Kochi,active
c104,Customer_104,Mumbai,active
c074,Customer_074,Trivandrum,active
c061,Customer_061,Trivandrum,active
c098,Customer_098,Coimbatore,active
c028,Customer_028,Chennai,active
c129,Customer_129,Bengaluru,active
c035,Customer_035,Hyderabad,active
c103,Customer_103,Trivandrum,active
c100,Customer_100,Chennai,active
c120,Customer_120,Hyderabad,active
c030,Customer_030,Chennai,active
c041,Customer_041,Hyd,inactive
c049,Customer_049,Bengaluru,active
c057,Customer_057,Trivandrum,active
c110,Customer_110,Coimbatore,active
c071,Customer_071,Chennai,active
c121,Customer_121,Hyderabad,active
c132,Customer_132,Mumbai,inactive
c116,Customer_116,Trivandrum,active
c144,Customer_144,Kochi,active
c040,Customer_040,Trivandrum,inactive
c018,Customer_018,Hyderabad,active
c131,Customer_131,Trivandrum,active
c011,Customer_011,Mumbai,inactive
c001,Customer_001,Trivandrum,active
c065,Customer_065,Kochi,active
c141,Customer_141,Trivandrm,active
c063,Customer_063,Chennai,active
c137,Customer_137,Hyderabad,active
c008,Customer_008,Coimbatore,active
c048,Customer_048,Trivandrm,active
c002,Customer_002,Chennai,active
c140,Customer_140,Hyderabad,active
c003,Customer_003,Trivandrum,active
c046,Customer_046,Bengaluru,active
c073,Customer_073,Bengaluru,active
c025,Customer_025,Mumbai,active
c082,Customer_082,Hyderabad,inactive
c092,Customer_092,Coimbatore,active
c085,Customer_085,Trivandrum,active
c067,Customer_067,Mumbai,active
c075,Customer_075,Pune,active
c022,Customer_022,Kochi,active
c091,Customer_091,Hyderabad,active
c139,Customer_139,Bengaluru,active
c014,Customer_014,Kochi,active
c114,Customer_114,Bengaluru,active
c107,Customer_107,Hyderabad,active
c006,Customer_006,Cmbt,active
c070,Customer_070,Chennai,active
c020,Customer_020,Bengaluru,active
c150,Customer_150,Mumbai,active
c143,Customer_143,Coimbatore,active
c012,Customer_012,Coimbatore,active
c004,Customer_004,Trivandrum,active
c106,Customer_106,Pune,active
c058,Customer_058,Trivandrm,active
c059,Customer_059,Chennai,active
c147,Customer_147,Hyderabad,inactive
